Id,Label,timeset,interval,name,type,street,city,st,zip,phone,latitude,longitude,background_map_node,lat,lng
2,Independent,,,Bisbee Food Co-opcoop,0,72 Erie Street,Bisbee,AZ,85603,(520) 432-4011,31.430757,-109.894566,,,
3,Independent,,,Sierra Vista Food Cooperative coop,0,96 South Carmichael Ave,Sierra Vista,AZ,85635,(520) 335-6676,31.552385,-110.299917,,,
4,Independent,,,Summercorn Foods,0,1410 Cato Springs Road,Fayetteville,AR,72701,(501) 521-9338,36.041714,-94.18136,,,
5,Independent,,,Arroyo Food Coopcoop,0,494 N. Wilson Ave.,Pasadena,CA,91106,(626) 568-2799,34.154548,-118.127946,,,
6,Independent,,,Bolinas Peoples Store,0,P. O. Box 808,Bolinas,CA,94924,(415) 868-1433,37.94134,-122.718263,,,
7,Independent,,,Caju Food Coopcoop,0,1895 W Commonwealth Ave. #B,Fullerton,CA,92833,(714) 773-4984,33.870087,-117.962942,,,
8,Independent,,,Corners of the Mouth Natural Foods,0,45015 Ukiah Street PO Box 367,Mendocino,CA,95460,(707) 937-5345,39.30596,-123.799242,,,
9,Independent,,,Kresge Food Co-op,0,"600 Kresge CT, Kresge College UCSC",Santa Cruz,CA,95064,(831) 426-1506,36.99737,-122.067054,,,
10,Independent,,,Other Avenues Community Food Store,0,3930 Judah Street,San Francisco,CA,94122,(415) 661-7475,37.760742,-122.504339,,,
11,Independent,,,Placerville Natural Food Co-opcoop,0,535 Placerville Drive,Placerville,CA,95667,(530) 621-3663,38.733469,-120.826114,,,
12,Independent,,,Rainbow Grocery Co-opcoop,0,1745 Folsom Street,San Francisco,CA,94103,(415) 863-0620,37.769109,-122.415058,,,
13,Independent,,,Santa Rosa Community Market & Café,0,1899 Mendocino Avenue,Santa Rosa,CA,95401,(707) 546-1806,38.458838,-122.717442,,,
14,Independent,,,The Cooperative Grocery (The CoG),0,1450 67th Street,Emeryville,CA,95616,(510) 868-2883,37.848666,-122.293618,,,
15,Independent,,,The Food Coop,0,"0323F Student Cooperative Center,",San Diego,CA,92093,(619) 546-8339,32.877058,-117.230578,,,
16,Independent,,,All Things Homestead,0,(mailing) PO Box 1745,Castle Rock,CO,80104,(303) 578-6430,39.302168,-104.817963,,,
17,Independent,,,Boulder Co-op Market,0,1904 Pearl Street,Boulder,CO,80302,(303) 447-2667,40.019537,-105.270333,,,
18,Independent,,,Comida Marketcoop,0,131 E Main St,Trinidad,CO,81082,(719) 846-7869,38.477973,-107.879394,,,
19,Independent,,,Durango Natural Foods,0,575 E 8th Avenue,Durango,CO,81301,(970) 257-8129,37.268015,-107.872515,,,
20,Independent,,,Fort Collins Food Co-op,0,250 East Mountain Avenue,Fort Collins,CO,80524,(970) 484-7448,40.587423,-105.075092,,,
21,Independent,,,High Plains Food Coop,0,"5655 S. Yosemite St., Suite 400",Greenwoods Village,CO,80111,(785) 626-3640,39.615116,-104.886582,,,
22,Independent,,,Huajatollas Food Co-op,0,106 County Road 632,Gardner,CO,81040,(719) 746-2314,37.78546,-105.230774,,,
23,Independent,,,Mountain People's Co-op,0,30 E. First St PO Box 161,Nederland,CO,80466,(303) 258-7500,39.961692,-105.509748,,,
24,Independent,,,Rainbow Gardens Co-op,0,655 Tabernash Drive,Ridgeway,CO,81432,(970) 626-9720,38.14626,-107.758147,,,
25,Independent,,,SDA Coop,0,106 Division Avenue,Sterling,CO,80751,(970) 265-2642,40.624506,-103.211602,,,
26,Independent,,,Valley Food Co-opcoop,0,3211 Main Street St. G,Alamosa,CO,81101,(719) 589-5727,37.483691,-105.829953,,,
27,Independent,,,Wholistic Food Options,0,231 Salem Turnpike,Norwich,CT,6360,(860) 848-7199,41.507432,-72.124181,,,
28,Independent,,,Bread and Roses Food Cooperativecoop,0,915-2 Railroad Avenue,Tallahassee,FL,32301,(850) 425-8486,30.433991,-84.289426,,,
29,Independent,,,Citizens Co-opcoop,0,435 So. Main St.,Gainesville,FL,32601,(352) 505-6575,29.647329,-82.324835,,,
30,Independent,,,Essentials For Life,0,2106 Flora Avenue,Ft. Myers,FL,33907,(239) 939-2529,26.558691,-81.869997,,,
31,Independent,,,Gregg L. Friedman MD Organic Coopcoop,0,"2500 East Hallandale Beach Blvd, Suite 702",Hallandale Beach,FL,33009,(954) 456-1996,25.985675,-80.124292,,,
32,Independent,,,Homegrown Local Food Cooperative,0,2310 N Orange Ave,Orlando,FL,32804,(407) 895-5559,28.572603,-81.373028,,,
33,Independent,,,Jumplight Farms,0,9219 Lantern Drive,Lake Worth,FL,33467,(561) 427-7296,26.606195,-80.193196,,,
34,Independent,,,Kissimmee Organic Co-op,0,4830 Lake Cecile Drive,Kissimmee,FL,34746,(407) 870-9839,28.32357,-81.476067,,,
35,Independent,,,Little River Co-op,0,3218 Palmetto Rd.,Wimauma,FL,33598,(702) 995-1092,27.65683,-82.365934,,,
36,Independent,,,Seminole Natural Foods,0,1550 Warwick Place,Longwood,FL,32750,(407) 699-1883,28.692643,-81.376306,,,
